"sample_id","tree","R2_full","partial_R2_phylo","prop_residual","prop_phylo_norm","prop_residual_norm","shapley_longitude_norm","shapley_norm_longitude_norm","shapley_latitude_norm","shapley_norm_latitude_norm","shapley_log_n_speakers_norm","shapley_norm_log_n_speakers_norm","shapley_n_segments_norm","shapley_norm_n_segments_norm","shapley_delta_norm","shapley_norm_delta_norm","shapley_longitude_norm_latitude_norm","shapley_norm_longitude_norm_latitude_norm","shapley_longitude_norm_log_n_speakers_norm","shapley_norm_longitude_norm_log_n_speakers_norm","shapley_longitude_norm_n_segments_norm","shapley_norm_longitude_norm_n_segments_norm","shapley_longitude_norm_delta_norm","shapley_norm_longitude_norm_delta_norm","shapley_latitude_norm_log_n_speakers_norm","shapley_norm_latitude_norm_log_n_speakers_norm","shapley_latitude_norm_n_segments_norm","shapley_norm_latitude_norm_n_segments_norm","shapley_latitude_norm_delta_norm","shapley_norm_latitude_norm_delta_norm","shapley_log_n_speakers_norm_n_segments_norm","shapley_norm_log_n_speakers_norm_n_segments_norm","shapley_log_n_speakers_norm_delta_norm","shapley_norm_log_n_speakers_norm_delta_norm","shapley_n_segments_norm_delta_norm","shapley_norm_n_segments_norm_delta_norm"
1,"long_v3_CCD0.0.25",0.997631622166968,0.596198705820106,0.00236837783303209,0.495731658877559,0.00196927611642971,0.0918175415388526,0.0763451207404141,0.0333584779848831,0.0277371511672928,0.00827354881349097,0.00687935085748726,0.0100199489428603,0.0083314604054363,0.0982597971784203,0.0817017745605916,0.0222356998148395,0.0184887022529697,0.0209802254742509,0.0174447912691609,0.0188984578834578,0.0157138279324294,0.014336377946103,0.0119205163515765,0.0112321962511059,0.00933942866034861,0.0190133630606505,0.0158093701292629,0.0408252701948402,0.0339456941456685,0.0507810809081757,0.0422238244270884,0.076975328788138,0.0640040091672106,0.0870897751037937,0.0724140429390735
2,"long_v3_CCD0.0.25",0.998051457066335,0.876703665337782,0.00194854293366546,0.600104090641321,0.00133377859762039,0.100857848246299,0.0690372467903008,0.0352616652069553,0.0241366271981602,0.0123119049224399,0.00842750498219546,0.0096617898233108,0.00661349989183811,0.0111897900293855,0.00765941678533362,0.0233663743834509,0.0159942947718405,0.0120139625915749,0.00822356331000179,0.0250604555755286,0.0171538941820387,0.0659034353775293,0.0451109339689296,0.00838968683107048,0.00574274476722442,0.020290537102972,0.0138888826387096,0.02339281689402,0.0160123946833462,0.0159178243626464,0.0108957586146897,0.0339850763759787,0.0232628015147225,0.184663952851931,0.126402566661728
3,"long_v3_CCD0.0.25",0.998811619681465,0.818348915020318,0.00118838031853482,0.617871383213244,0.000897253210359879,0.0839993864084281,0.0634213794588468,0.0248606803112532,0.0187703590114186,0.00779597125359587,0.00588612931909414,0.0246899091037929,0.0186414230035254,0.0535668233760854,0.0404441267608935,0.0234827328892985,0.0177299784793846,0.0200104986741155,0.0151083654754471,0.0274592351872193,0.0207323249480739,0.0334576535528344,0.0252612624032697,0.0104626480295391,0.00789952878464334,0.0159385236523338,0.0120339350058281,0.0113691672267788,0.00858397066515094,0.0323906802210828,0.0244556741312737,0.119396880843067,0.0901472642827672,0.0160467414893444,0.0121156418467793
4,"long_v3_CCD0.0.25",0.999110046009082,1.12696873810608,0.000889953990918191,0.503412966841082,0.000397539313888242,0.222700283463135,0.0994794324134786,0.255884047181236,0.114302502814133,0.0127050823408252,0.00567531554238467,0.0149004592184821,0.00665598266290559,0.150630324158775,0.0672860353770215,0.0857105973929893,0.0382866220369503,0.0259349722269636,0.0115850607672206,0.0266342726672268,0.0118974358113925,0.023075387530919,0.0103076943531456,0.0156234535400167,0.00697894168040648,0.0500637988096831,0.0223633226352596,0.03375318220731,0.0150774276346521,0.0147611036365104,0.00659373301516101,0.111155597663381,0.0496528140565414,0.0672653008959258,0.0300471730443767
5,"long_v3_CCD0.0.25",0.998862886528852,1.03635656062789,0.00113711347114829,0.828770174866616,0.000909345071117013,0.0330922794598376,0.0264637628366517,0.0356454264777226,0.0285055042419366,0.00654207912956847,0.00523167437751229,0.00563666007940188,0.00450761440332782,0.0133482122740131,0.0106745116890929,0.0139340958263082,0.0111430404103207,0.0376680116831901,0.0301229574989531,0.012266341079701,0.00980934364466044,0.017903704885333,0.0143175208150252,0.00417488248857481,0.00333863674101451,0.0058458426771118,0.00467489688569863,0.00448566986787453,0.00358717215872105,0.00619270588542538,0.00495228199882483,0.00962259908010015,0.00769515379673403,0.00662302762492221,0.00529640856379356
6,"long_v3_CCD0.0.25",0.997991219980666,0.696332072800458,0.0020087800193336,0.584998488494534,0.00168760469455631,0.0378188344309283,0.0317721412568885,0.0272543814046525,0.0228967938564911,0.0278819642892907,0.0234240351731834,0.0191700895265025,0.0161050651483096,0.025881677667328,0.0217435659026845,0.0168646405639675,0.0141682246507002,0.0166917228468142,0.0140229540145772,0.0262192024051369,0.022027125240478,0.00915243431469625,0.00768909037696604,0.0180449896879605,0.0151598527551687,0.0938615347755197,0.0788544117329362,0.0289921020525094,0.0243566777138205,0.0207707225166914,0.0174497797126254,0.0572748430637148,0.0481174111172045,0.0660943186892737,0.0555267781588758
7,"long_v3_CCD0.0.25",0.99733426175516,1.00400123975457,0.00266573824483977,0.609683250408472,0.00161877883562114,0.0891381182546466,0.0541294328342388,0.165028876438341,0.100214360116508,0.0101382564318866,0.00615649153618397,0.0156515395485029,0.00950445191498034,0.0208281933516131,0.0126479929704586,0.06110838826832,0.0371082816548709,0.012166739032986,0.00738829466218171,0.0101477361819143,0.00616224814741217,0.0113420323392979,0.0068874886494677,0.0116055976169031,0.00704753958245701,0.0216498632900805,0.0131469549029859,0.0114082877458962,0.00692772247593375,0.0323702828794595,0.0196569670445974,0.0501863193117843,0.030475817232582,0.117321561673596,0.0712439270310477
8,"long_v3_CCD0.0.25",0.997581214314468,0.748933145620556,0.00241878568553245,0.581607257579251,0.00187838302719108,0.119147536771835,0.0925277142751792,0.0406973234486959,0.0316047684899821,0.0129703426285463,0.010072521760005,0.0347215559363407,0.0269641009282437,0.0922031759528762,0.0716032353750556,0.0349920332852068,0.027174148500622,0.0300825883273639,0.0233615667837302,0.00947962577355728,0.00736169734411727,0.0206837208269248,0.0160625847808016,0.00645361461222274,0.005011754544497,0.0130225657479721,0.0101130772427595,0.0327525372927918,0.0254349984441388,0.0120643254924896,0.00936892605870233,0.0222249408884725,0.0172594670106301,0.0548478489493307,0.0425937978550934
9,"long_v3_CCD0.0.25",0.999140437946366,1.11384670577785,0.000859562053633763,0.620099017641429,0.000478534058856794,0.0970091930839316,0.0540068081375025,0.0599180896852859,0.0333575063427149,0.00966515116020171,0.00538076802553503,0.00978890421830922,0.00544966363690105,0.132267868141079,0.0736359632563003,0.115282452696109,0.0641798690047114,0.019195139769389,0.0106862885644355,0.016255559768029,0.00904977012642591,0.0230494856261051,0.0128320740365314,0.017273834940979,0.00961666270792703,0.0209895299808479,0.0116852587114218,0.0124052915252572,0.00690625473726698,0.0445747957843616,0.0248156114607773,0.0236645507763838,0.0131744921569916,0.0801939597254944,0.044645457394272
10,"long_v3_CCD0.0.25",0.99824367344902,0.838417979818759,0.00175632655097955,0.716652703731608,0.00150125140644907,0.0747833351483254,0.0639223878997678,0.0218250141104524,0.018655319599202,0.0192927448998406,0.0164908173818789,0.00473507395576177,0.00404738881375057,0.00317420679459151,0.00271320980263209,0.0147591856769035,0.0126156768757705,0.0397079661515696,0.0339410914211991,0.0114187180034291,0.00976035262516105,0.0186947629486402,0.0159796816567086,0.0274829384366005,0.0234915312065906,0.00838910524170414,0.00717073714790313,0.045205077922501,0.0386398456323199,0.00703791831326229,0.00601578605092882,0.00523522990364079,0.00447490601992073,0.0279927628761028,0.0239273127282092
