"sample_id","tree","Intercept","longitude_norm","latitude_norm","log_n_speakers_norm","n_segments_norm","delta_norm"
1,"heggarty2024",-5.79017956732403,-0.0806629954637804,-0.0199985980709756,-0.0372938493850608,0.0187994494171637,-0.209809670531273
2,"heggarty2024",-5.84270143805775,0.0197685366817731,0.0849969905199865,-0.100059046752604,-0.0064091183207847,-0.0946905843530773
3,"heggarty2024",-5.78677660799029,0.271152508594872,0.0752699935097615,-0.0628786608141662,-0.108966468538344,-0.143562445413007
4,"heggarty2024",-5.77953220010338,0.108021384051475,0.00829140923138023,0.0349871499837384,0.00891696874357004,-0.11419722073758
5,"heggarty2024",-5.35521431441829,-0.293247635501501,-0.0900009120559956,-0.0711954088584945,0.0845961322976556,-0.260272306428759
6,"heggarty2024",-6.16118821701284,0.0416930248443057,0.226749440985563,-0.0152379570457769,0.110923023755547,0.15284242332922
7,"heggarty2024",-5.79712952669047,0.0638924701064132,-0.078071892322772,0.106276777513377,0.073376575289845,-0.050028790084089
8,"heggarty2024",-5.83510306852176,0.168187518055403,-0.0401859466321876,-0.100432250141658,0.0493886360155897,-0.151831443586184
9,"heggarty2024",-5.87733105651957,0.134102438424351,-0.00162810421310162,-0.0531978302066769,-0.0203151524781212,-0.158564750401772
10,"heggarty2024",-5.91164399441721,-0.134443497903595,-0.0113137678363893,0.00498108599560695,0.0707263700656486,0.00573172507209051
11,"heggarty2024",-5.86878787182615,-0.0704088531544517,-0.276239441354719,-0.19755764979037,-0.0935894472681408,-0.122165833385926
12,"heggarty2024",-5.87097246110592,0.0937977091663035,-0.082904298642467,0.0376024397560922,-0.0917359872042995,-0.0865412160921673
13,"heggarty2024",-5.88316269302067,0.11295671542762,0.0746415000505957,0.0282485834299514,-0.0779317580443351,-0.129616185432385
14,"heggarty2024",-5.93400826094788,0.111000520343325,-0.112110932726225,0.0989718059031743,-0.0633894128682508,0.00495144458807605
15,"heggarty2024",-5.79578747618534,0.0204456910340806,-0.0731746390151854,-0.0369733605296484,-0.05328057803378,-0.103183681486594
16,"heggarty2024",-5.79142767588099,0.124844107262529,-0.0577286326809043,-0.140342758722371,-0.000211055687272171,-0.194374666589217
17,"heggarty2024",-5.75989616784953,-0.18696752804581,-0.0633332510015843,-0.0640462664312308,0.00510352508185874,-0.0700526732437435
18,"heggarty2024",-5.84681838676517,0.156457766171752,-0.0287686890570971,-0.0529584833199965,0.110209286558863,-0.0147100897905951
19,"heggarty2024",-5.92048655957526,-0.0212646835203242,-0.232390025583266,-0.111894888810081,0.0194230340617008,-0.0849875340894654
20,"heggarty2024",-5.54895073458769,-0.122721198866956,-0.341642784546952,-0.195414012397413,-0.0707580659667479,-0.241414829341641
21,"heggarty2024",-5.79117275463238,0.154708149474001,-0.0891963824140574,-0.0273138141302243,0.0905914379816536,-0.0604320781664041
22,"heggarty2024",-5.88996113671818,0.475746911768426,0.0612151025238668,0.0983690715482421,-0.0596046311553032,-0.029166192912565
23,"heggarty2024",-5.91981841605185,0.00925610551284357,-0.082725249390508,0.0400621387755137,0.0916535858040838,0.0193719812230722
24,"heggarty2024",-5.86998214729489,0.167307048967266,-0.0987112787417218,0.0323729992235021,-0.0507920529146196,-0.00650360756238095
25,"heggarty2024",-5.90591792565668,0.255027687974187,-0.0612709569942898,-0.0571700255722444,-0.0190736616400105,-0.0658718047042356
26,"heggarty2024",-5.87448017004418,0.0330050526802883,-0.0600297382756804,0.0842057158449748,0.101218377279981,-0.100583361447531
27,"heggarty2024",-5.84191933080505,0.034104446932607,-0.159160570798017,-0.059911196822004,0.050170155021118,-0.141111332169388
28,"heggarty2024",-5.95386801730677,0.00547932247391224,-0.143759561047776,0.0960551412214597,-0.0645790861073747,-0.0278086701309444
29,"heggarty2024",-5.68359156965929,0.163600306381997,-0.0473918539824193,-0.0861472319835855,-0.0505389830795541,-0.246381678372727
30,"heggarty2024",-5.85732889824549,0.0764118627874343,-0.0100135702179132,-0.13246006893104,0.0326341829601004,-0.253511491808137
31,"heggarty2024",-5.72382572400497,-0.0637211291382621,0.130093560343604,-0.216981599727106,0.131519735001307,0.0270207928175775
32,"heggarty2024",-5.88178777088839,0.0747492229956462,-0.142860577931079,-0.0190953838679544,-0.0156089699618376,-0.10786433449818
33,"heggarty2024",-5.78698086024838,-0.0959157573785402,-0.288534702022956,-0.0203519312904374,-0.0107160284059936,-0.151885695202537
34,"heggarty2024",-5.84720263939914,0.0797646119448019,-0.155668374412201,-0.0670725461133199,-0.0493129347400539,-0.0988966471158772
35,"heggarty2024",-5.74672506954845,0.230347702725733,-0.0761262050484789,-0.0261895712560471,0.0496122907997608,0.0288540313001047
36,"heggarty2024",-5.92692491617092,0.3090853903995,0.050505167297861,0.0191693633715509,-0.0491380014737494,-0.0368038542775376
37,"heggarty2024",-5.70146670240623,0.101383790264171,0.0827196884359388,0.0619200799784876,0.00903769349273988,-0.176378185323532
38,"heggarty2024",-6.13990439154146,0.0842099202615114,0.0806214124383723,-0.015836325600639,0.140998129518836,-0.00123054965017897
39,"heggarty2024",-5.99339340994312,-0.218674963457965,-0.0788550672482555,-0.190141880975553,0.0909662683118532,-0.138571897098516
40,"heggarty2024",-5.847547949197,0.0718437070420834,-0.121027187383799,-0.10430115042014,-0.0182884270679505,-0.123398664350892
41,"heggarty2024",-5.87541152323203,0.0490560509175368,-0.129104461173518,-0.0346130436995687,0.121690740692665,0.0240119065229205
42,"heggarty2024",-5.83807729677743,0.195683184678693,0.0603835705625808,0.0704060435983277,-0.145157125565708,-0.0921521257823291
43,"heggarty2024",-5.76341320022417,0.132267068695548,-0.0577211485385909,0.0111065324937242,0.0243152718589435,-0.159606874269388
44,"heggarty2024",-5.7756790194553,-0.0511923376100287,-0.211349846780995,0.145238086342365,-0.0269678450415294,-0.120142751308782
45,"heggarty2024",-5.75287127966949,0.215118913654905,-0.101882630001216,0.0406380716413176,-0.0727487917135963,-0.123453614338156
46,"heggarty2024",-5.76528274666764,0.225073229848134,0.0944255292144099,0.0572948350671026,0.0200222013303244,-0.105650723891887
47,"heggarty2024",-5.69366072163858,0.0220882107255053,-0.201142086960037,-0.0863566041857055,0.0725526544632311,-0.139404812589354
48,"heggarty2024",-5.99544227531442,0.531531929183708,0.446770874334455,0.135495423179404,0.00797888360430995,0.00264083749852231
49,"heggarty2024",-5.86721866890671,0.131723989391256,-0.0139989824956094,-0.0443260102781977,0.00199133075499823,-0.10022149317521
50,"heggarty2024",-5.83601862899682,-0.124027688041069,-0.225050626384109,0.0512775795869684,0.103678410841944,-0.1426646548564
51,"heggarty2024",-5.43267681191099,0.0199522272669223,0.150761558494216,-0.0820707920208166,-0.0660211889535406,-0.146237455041945
52,"heggarty2024",-5.77445802206539,0.0603872614649001,-0.150870850704743,-0.0918572644410524,0.0123568309770382,-0.167391001543384
53,"heggarty2024",-5.85217425230242,0.133119377178982,-0.0558101061379322,0.0255614904517551,-0.0425943448514273,-0.0695572578628051
54,"heggarty2024",-6.00795334471703,-0.0973777503020024,-0.021019066983812,0.0744322613223903,-0.0477469371784873,-0.216326912867826
55,"heggarty2024",-5.85588959272058,0.139861039640872,-0.0584440743201564,-0.0170061802445986,-0.0582250646221916,-0.131113747982582
56,"heggarty2024",-5.93691196813813,0.143047508103113,-0.0217954064735613,0.0197466178152715,-0.0322380599832636,-0.0925702574138096
57,"heggarty2024",-5.77990979531657,-0.0787676977582504,-0.123242344799398,-0.105338428918068,0.0802564758509186,-0.101705301129723
58,"heggarty2024",-5.99707348098628,0.0653357034410478,-0.152689732563351,-0.0568697413121431,0.0204535353504537,-0.0108550941819339
59,"heggarty2024",-5.7847806323009,0.109344024875991,0.129122264245167,-0.0706693275152247,0.0532795386865629,-0.154566690455627
60,"heggarty2024",-5.90607469449112,0.0415837291191946,-0.0826879073780094,0.0909586194801143,0.0206619641573923,-0.018541727111196
61,"heggarty2024",-5.67149819796927,-0.000907625107289721,-0.123371966389553,-0.0103549597959182,0.00357139909118708,-0.0802131398785578
62,"heggarty2024",-5.9183406045289,0.061261564348094,-0.0139862610499584,-0.00498507363801756,-0.0688817249611947,-0.186966585141476
63,"heggarty2024",-5.82603539821637,0.153516536072278,-0.136606012456529,0.00543316460512877,-0.0614045482520303,-0.158110073574603
64,"heggarty2024",-5.90879409943899,0.20909564337848,0.114819596798994,0.0517874143309636,0.0159588357588662,-0.100309133346317
65,"heggarty2024",-5.80414912901025,0.115863320929701,0.00587492088860419,-0.147343145265684,0.0161772726152843,-0.143821880249139
66,"heggarty2024",-5.94230803941198,-0.102181944000137,-0.249994801671481,-0.0368521783522394,-0.00804428661440845,-0.176290871304568
67,"heggarty2024",-5.95002577452631,0.157045690978672,-0.260675933690844,-0.033498009632683,0.0120525313988283,-0.115615242915841
68,"heggarty2024",-6.03325022322197,0.0841311950084428,0.0181192829729303,-0.189193274400535,-0.0365633610582982,-0.233523998734684
69,"heggarty2024",-5.80867257538492,0.116910813800317,-0.146376519839109,-0.00955593396735067,-0.086505874240982,-0.221258808421574
70,"heggarty2024",-5.74914848422153,-0.0444431678532489,-0.170205088873611,-0.0155211642915929,-0.065412030090738,-0.236717096102599
71,"heggarty2024",-6.01750001217755,0.15301019607601,0.0798919841828146,-0.118526039808642,-0.0851635707686553,-0.0702052909548696
