"sample_id","tree","Intercept","longitude_norm","latitude_norm","log_n_speakers_norm","n_segments_norm","delta_norm","longitude_norm.latitude_norm","longitude_norm.log_n_speakers_norm","longitude_norm.n_segments_norm","longitude_norm.delta_norm","latitude_norm.log_n_speakers_norm","latitude_norm.n_segments_norm","latitude_norm.delta_norm","log_n_speakers_norm.n_segments_norm","log_n_speakers_norm.delta_norm","n_segments_norm.delta_norm"
1,"long_v3_CCD0.0.25",1.91158620598244,-0.281956101821006,-0.203608475974144,-0.0442332422010998,0.0524222146826541,-0.0974254674214314,-0.102685584023818,-0.0133759971804767,0.0217498368623997,-0.148952404358336,-0.0630542582334636,-0.0686542408634778,-0.26560252192391,-0.106321091289254,0.0501573024353482,0.153678042507688
2,"long_v3_CCD0.0.25",1.87289142308296,-0.317371001884474,-0.190793457562977,0.0142631242236584,0.047285919401336,-0.00922512417896363,-0.141041803539669,0.099930599467492,0.0482624148230066,0.0625178882261958,0.0994570638175456,-0.13757234039908,-0.143886159485182,-0.0986912540985784,-0.0166363686290335,0.208454149749821
3,"long_v3_CCD0.0.25",2.18529072822352,-0.166569555563946,-0.102937529744615,0.0341349778529147,-0.0170135899960922,-0.102007753285621,-0.0133842490427105,0.0536237714720074,0.0872108405019336,0.0996172251194114,0.0473761792962809,0.0552196309969412,0.029753053650778,-0.0660018231004815,0.0894662673899313,0.0269439209594327
4,"long_v3_CCD0.0.25",2.02026357162908,-0.101856936332472,0.132334009587884,0.0658786993679742,-0.0176091499910541,-0.145146475217391,0.0751951373387355,0.00587241566975172,-0.153137872115912,0.0128747633155787,-0.0732308819879498,-0.179061972616044,-0.0133442281130694,-0.0408574963837183,0.10533620263029,0.0648751573963668
5,"long_v3_CCD0.0.25",1.83446116852422,-0.0624302622786175,0.127595807702946,-0.0571956471808384,0.076371265220031,-0.066659102137397,-0.146368855438639,-0.207104348042176,0.217527120578618,0.164894117816227,-0.0090189696561034,0.153553467782239,-0.00300559763717007,0.0838645498798832,-0.077298557134711,-0.0517681433270985
6,"long_v3_CCD0.0.25",2.17295852998618,-0.0642823603254894,-0.0504007041043475,0.0477754084762036,-0.0550743829457275,-0.00610142835565183,0.0545983193053088,0.0565450259448622,-0.112143968731671,-0.080509084723027,0.0403871588453745,-0.354140534285156,-0.120876037070156,-0.127679621835518,0.0712954845115825,0.176265803027064
7,"long_v3_CCD0.0.25",2.19491091211432,0.155934486996097,0.189151142651178,0.0838744480820752,-0.0963889895832665,-0.0455225729139658,0.220378295726508,-0.0359090445345731,-0.0453814530092241,-0.0621679836488338,-0.116129662534256,-0.0540133040715404,0.100240561042079,0.120108465892574,0.132238389055672,0.148705424236886
8,"long_v3_CCD0.0.25",1.94020975458421,-0.321461744394896,-0.107259231913704,-0.104077911007719,0.148293724138881,-0.104245487875811,-0.19563128398475,-0.117867339936561,0.0620210234675423,0.0201649545809904,0.00984523510316504,-0.0604018841114066,-0.23766559612713,-0.0440717937861427,-0.052101180886641,0.0753051920500221
9,"long_v3_CCD0.0.25",2.04033076298751,-0.0635795518313616,-0.0768444442678056,0.0707819682931451,-0.0968294646325363,-0.144547832141097,0.261096812310399,0.138716851643339,-0.219011897776692,-0.159310347079844,-0.110659139545765,-0.132808612684561,0.0547885120857976,-0.110563297001091,0.0755314762993259,0.132274933177266
10,"long_v3_CCD0.0.25",1.92824617161502,-0.139941415695496,-0.0270048311982737,-0.0787493753171308,0.00512008604595554,-0.0197274118272912,-0.048218096421551,-0.139418300587706,0.0411085557680953,-0.0727949438374521,-0.10496280566933,-0.0231534820340994,-0.0221202571118345,0.0199940446054351,-0.0373065981694129,0.0703515633518165
